user;date;text;favorite_count;retweet_count;retweeter_usr
Noname06401912;Sat Feb 12 23:59:25 +0000 2022;RT @BBCRosAtkins: New explainer on NATO and the Ukraine crisis. To understand the Russian troop build-up and the West’s response - we need…;0;1467;catfishyak
tbg2000;Sat Feb 12 23:59:23 +0000 2022;RT @BradThor: Straight out of SPYMASTER https://t.co/VdIYmxF6mC;0;5;catfishyak
citizenpsych;Sat Feb 12 23:59:22 +0000 2022;"RT @TG22110: About 40% of Americans will blame Biden (Not Putin) if Russia invades Ukraine.  

Let that sink in.";0;857;catfishyak
john_schertz;Sat Feb 12 23:59:22 +0000 2022;"RT @Tex1944: Tucker Carlson: What happens to our troops in Ukraine if Russia invades?

https://t.co/WdFBBzr6JN";0;1;catfishyak
carlosp2311967;Sat Feb 12 23:59:22 +0000 2022;"RT @aaronjmate: “The [Ukraine] crisis,"" the Washington Post wrote in a now deleted passage, ""is a major test of Biden’s presidency as Putin…";0;125;catfishyak
Sharon05112811;Sat Feb 12 23:59:21 +0000 2022;"RT @joncoopertweets: A die-hard Trumper just messaged me with this: “Biden is a greater threat to America and Ukraine than Russia.”

How sh…";0;394;catfishyak
amalfull1000;Sat Feb 12 23:59:21 +0000 2022;RT @EpochTimes: “Secretary of Defense has ordered the temporary repositioning of Florida National Guard troops out of Ukraine,” #Pentagon P…;0;16;catfishyak
AngelaJ84884786;Sat Feb 12 23:59:20 +0000 2022;RT @levparnas: Trump caused the crises that is going on between Russia/Ukraine. When he found out that Ukraine had no chance against Russia…;0;4756;catfishyak
Ecatetriformis;Sat Feb 12 23:59:19 +0000 2022;RT @I_Katchanovski: My studies found that Right Sector, which then included this #NeoNazis organization, was involved in Maidan massacre of…;0;54;catfishyak
joebusdriver;Sat Feb 12 23:59:16 +0000 2022;RT @levparnas: Trump caused the crises that is going on between Russia/Ukraine. When he found out that Ukraine had no chance against Russia…;0;4756;catfishyak
warwara_;Sat Feb 12 23:59:16 +0000 2022;RT @Karmabash: Russia-Ukraine border area. Mi-35M and Mi-8MTB-5 copters. Positioned. https://t.co/Njatc8kDn9;0;4;catfishyak
MK0008889;Sat Feb 12 23:59:14 +0000 2022;RT @WhiteHouse: President Biden spoke with President Vladimir Putin today to make clear that if Russia further invades Ukraine, the U.S. an…;0;3522;catfishyak
JoeCalnan;Sat Feb 12 23:59:14 +0000 2022;"RT @DAlperovitch: The US semiconductor industry imports 90% of neon supplies from Ukraine, which Russia could prevent the export of

35% of…";0;412;catfishyak
DogplaysGod;Fri Feb 11 22:28:16 +0000 2022;RT @fToRrEeEsSt: Everyone is acting like Russia will invade Ukraine except Russia and Ukraine 🙄;0;155;catfishyak
lawdawgseven;Fri Feb 11 22:28:16 +0000 2022;RT @goodblackdude: BREAKING: The Biden regime has warned ALL American citizens to leave Ukraine in the next “24 to 48 hours” amid Russia-Uk…;0;58;catfishyak
harrynoble__;Fri Feb 11 22:28:15 +0000 2022;"RT @emharris33: 130,000 Russian troops on the Ukraine border and Diane Abbott MP is questioning if Russia really is the aggressor. 

My god.";0;158;catfishyak
LG7942;Fri Feb 11 22:28:15 +0000 2022;"RT @Matt_VanDyke: World War 3, World War III, and WWIII trending thanks to #Russia bots &amp; propaganda accounts to scare people about #Ukrain…";0;609;catfishyak
lawandliberty1;Fri Feb 11 22:28:15 +0000 2022;RT @shustry: When I was a cub reporter in Moscow in 2007, one of my heroes was the correspondent for the Sunday Times. A real honor to see…;0;18;catfishyak
622valleyviewdr;Fri Feb 11 22:28:15 +0000 2022;RT @TristanSnell: If Russia invades Ukraine, Russia should be ejected from the Olympics. For starters.;0;2094;catfishyak
FMOTIFYOUCAN;Fri Feb 11 22:28:14 +0000 2022;RT @kevinsekniqi: I simply do not understand the Russia / Ukraine conflict well enough, and therefore will refrain myself from commenting o…;0;9;catfishyak
lydiatomkiw;Fri Feb 11 22:28:14 +0000 2022;"RT @steven_pifer: No. If war happens, it will because Vladimir Putin gave an order, and #Russia launches military assault on #Ukraine.

No…";0;122;catfishyak
magicarolyne;Fri Feb 11 22:28:14 +0000 2022;"RT @PresseMondial: ""🇺🇦⚡️En Ukraine, le bureau du procureur et le SBU exportent massivement des documents et des archives des régions de Kha…";0;4;catfishyak
Don48772755;Fri Feb 11 22:28:14 +0000 2022;RT @PalmerReport: If the media tries to blame Biden for this Russia-Ukraine mess, after Trump spent four years sabotaging Ukraine on Russia…;0;1930;catfishyak
daughter_chimdi;Fri Feb 11 22:28:14 +0000 2022;RT @Reuters: Russia has massed enough troops near Ukraine to launch a major invasion, Washington said, as it urged all U.S. citizens to lea…;0;243;catfishyak
CarrieMyHart;Fri Feb 11 22:28:13 +0000 2022;RT @MarshaBlackburn: If Russia invades Ukraine, it will be because of Biden’s weakness.;0;1945;catfishyak
HenryLeerhenry;Fri Feb 11 22:28:13 +0000 2022;"RT @askboomer1949: America's border with Russia . . . more trouble.
Rt
A fight for Ukraine's borders could maul America's own in the Arctic…";0;2;catfishyak
TrumpUnfit2Serv;Fri Feb 11 22:28:13 +0000 2022;"RT @Matt_VanDyke: World War 3, World War III, and WWIII trending thanks to #Russia bots &amp; propaganda accounts to scare people about #Ukrain…";0;609;catfishyak
sally71004896;Fri Feb 11 22:28:12 +0000 2022;RT @JuliaDavisNews: A key Russia expert and two other defense experts are being blocked from joining the Pentagon by GOP Sen. Josh Hawley,…;0;4171;catfishyak
Stevieray2013;Fri Feb 11 22:28:12 +0000 2022;RT @TheLeoTerrell: If Russia invades Ukraine, it will not take the focus off of Joe Biden's incompetent administration!  #VoteTrump2024;0;186;catfishyak
